Iteration_Identifier,time,HSFA1,HSPR,C_HSFA1_HSPR,MMP,FMP,C_HSPR_MMP,HSFA2,HSFB
Iteration 0,0,1,2,50,0,50,50,1,1
Iteration 0,0.007065546585529186,0,1,51,0,50,50,1,1
Iteration 0,0.054812725767987125,0,1,51,0,51,50,1,1
Iteration 0,0.11486719418348333,0,2,51,0,52,49,1,1
Iteration 0,0.11953713059023295,0,3,51,0,53,48,1,1
Iteration 0,0.12364031251701058,0,3,51,0,54,48,1,1
Iteration 0,0.1312438218440608,0,3,51,0,55,48,1,1
Iteration 0,0.14768119178558123,0,3,51,0,56,48,1,1
Iteration 0,0.16772545870655728,0,3,51,0,57,48,1,1
Iteration 0,0.2969773798554215,0,3,51,0,58,48,1,1
Iteration 0,0.33848978525133633,0,4,51,0,59,47,1,1
Iteration 0,0.34021094950379355,0,4,51,0,60,47,1,1
Iteration 0,0.4871598483266108,0,4,51,0,61,47,1,1
Iteration 0,0.5259689402441052,0,5,51,0,62,46,1,1
Iteration 0,0.5279695893265954,1,5,51,0,62,46,1,1
Iteration 0,0.5323750390775932,1,6,51,0,62,46,1,1
Iteration 0,0.5436588654762334,2,6,51,0,62,46,1,1
Iteration 0,0.5463035297712306,1,5,52,0,62,46,1,1
Iteration 0,0.5484125621818782,1,6,52,0,63,45,1,1
Iteration 0,0.5613190205236726,1,7,52,0,63,45,1,1
Iteration 0,0.5764475458205414,0,6,53,0,63,45,1,1
Iteration 0,0.5854879779485371,0,6,53,0,64,45,1,1
Iteration 0,0.592201692914526,0,6,53,0,65,45,1,1
Iteration 0,0.6116490848113284,0,6,53,0,66,45,1,1
Iteration 0,0.6140386658596754,0,6,53,0,67,45,1,1
Iteration 0,0.6370638567875458,0,7,53,0,68,44,1,1
Iteration 0,0.6402865885675618,0,6,53,0,68,44,1,1
Iteration 0,0.6533209663876413,1,6,53,0,68,44,1,1
Iteration 0,0.6800682317732097,0,5,54,0,68,44,1,1
Iteration 0,0.7460428871318456,1,6,53,0,68,44,1,1
Iteration 0,0.7521147608965484,0,5,54,0,68,44,1,1
Iteration 0,0.8092616904934044,0,6,54,0,68,44,1,1
Iteration 0,0.9814081947443667,0,7,54,0,69,43,1,1
Iteration 0,1.0783762987650083,0,7,54,0,70,43,1,1
Iteration 0,1.1203999368047066,1,8,53,0,70,43,1,1
Iteration 0,1.1212868480911302,1,9,53,0,70,43,1,1
Iteration 0,1.1243598521033857,1,9,53,0,71,43,1,1
Iteration 0,1.1282043518719638,1,10,53,0,71,43,1,1
Iteration 0,1.1316325027276768,1,11,53,0,71,43,1,1
Iteration 0,1.1350213350810217,0,10,54,0,71,43,1,1
Iteration 0,1.1357929853697308,0,11,54,0,72,42,1,1
Iteration 0,1.155946363906179,1,12,53,0,72,42,1,1
Iteration 0,1.158762717923557,2,13,52,0,72,42,1,1
Iteration 0,1.161021239444103,1,12,53,0,72,42,1,1
Iteration 0,1.1616489669076946,2,12,53,0,72,42,1,1
Iteration 0,1.1634645988799277,1,11,54,0,72,42,1,1
Iteration 0,1.165170216106029,1,12,54,0,72,42,1,1
Iteration 0,1.1742846050092715,0,11,55,0,72,42,1,1
Iteration 0,1.1751243647653502,1,12,54,0,72,42,1,1
Iteration 0,1.1787765666618837,0,11,55,0,72,42,1,1
Iteration 0,1.2276301539855912,1,12,54,0,72,42,1,1
Iteration 0,1.2328889991218022,0,11,55,0,72,42,1,1
Iteration 0,1.2676280582889554,0,12,55,0,73,41,1,1
Iteration 0,1.2725501100924133,0,13,55,0,74,40,1,1
Iteration 0,1.2734706081136025,0,13,55,0,73,40,1,1
Iteration 0,1.292020738222066,0,14,55,0,74,39,1,1
Iteration 0,1.3065710911180275,0,15,55,0,75,38,1,1
Iteration 0,1.334114118182696,1,15,55,0,75,38,1,1
Iteration 0,1.3350894745804107,0,14,56,0,75,38,1,1
Iteration 0,1.3944918679458895,0,14,56,0,75,37,1,1
Iteration 0,1.4799167463250427,0,14,56,0,76,37,1,1
Iteration 0,1.5642645718017234,1,15,55,0,76,37,1,1
Iteration 0,1.566122482262669,0,14,56,0,76,37,1,1
Iteration 0,1.583397005616798,0,15,56,0,77,36,1,1
Iteration 0,1.583786251046546,1,15,56,0,77,36,1,1
Iteration 0,1.5929795501918755,0,14,57,0,77,36,1,1
Iteration 0,1.5993315439154985,0,15,57,0,78,35,1,1
Iteration 0,1.6183408777443797,0,15,57,0,79,35,1,1
Iteration 0,1.6253541183810643,0,15,57,0,80,35,1,1
Iteration 0,1.6396967898990058,1,16,56,0,80,35,1,1
Iteration 0,1.6411171048641735,1,17,56,0,80,35,1,1
Iteration 0,1.6432154490478312,0,16,57,0,80,35,1,1
Iteration 0,1.648130109912893,0,16,57,1,79,35,1,1
Iteration 0,1.6831922157223826,0,16,57,1,80,35,1,1
Iteration 0,1.6833031358385724,0,16,57,1,81,35,1,1
Iteration 0,1.7013411212100158,0,15,57,0,81,36,1,1
Iteration 0,1.725987330013257,0,16,57,1,81,35,1,1
Iteration 0,1.735714541713735,0,16,57,1,82,35,1,1
Iteration 0,1.7522590262366442,1,17,56,1,82,35,1,1
Iteration 0,1.7606143860352823,0,16,57,1,82,35,1,1
Iteration 0,1.81748167865886,0,17,57,1,83,34,1,1
Iteration 0,1.8209136741950784,1,18,56,1,83,34,1,1
Iteration 0,1.8219976561963793,0,17,57,1,83,34,1,1
Iteration 0,1.851989212747701,0,18,57,1,84,33,1,1
Iteration 0,1.8820727043929022,1,19,56,1,84,33,1,1
Iteration 0,1.8872108378191739,0,18,57,1,84,33,1,1
Iteration 0,1.96599768241957,0,18,57,1,85,33,1,1
Iteration 0,1.9843626681353612,0,19,57,1,85,33,1,1
Iteration 0,2.012131206284552,0,19,57,1,86,33,1,1
Iteration 0,2.0166170241449364,0,19,57,1,87,33,1,1
